Frequency  	Phase      
66564425.41 	-95.3057729 
66714271.8  	-95.318103  
66864455.52 	-95.330462  
67014977.33 	-95.3428499 
67165837.98 	-95.355267  
67317038.24 	-95.3677132 
67468578.88 	-95.3801886 
67620460.65 	-95.3926933 
67772684.34 	-95.4052273 
67925250.7  	-95.4177909 
68078160.51 	-95.4303839 
68231414.55 	-95.4430066 
68385013.58 	-95.4556589 
68538958.39 	-95.468341  
68693249.75 	-95.4810529 
68847888.44 	-95.4937948 
69002875.24 	-95.5065667 
69158210.95 	-95.5193686 
69313896.34 	-95.5322008 
69469932.2  	-95.5450631 
69626319.32 	-95.5579558 
69783058.49 	-95.5708789 
69940150.5  	-95.5838325 
70097596.15 	-95.5968167 
70255396.23 	-95.6098315 
70413551.55 	-95.6228771 
70572062.89 	-95.6359535 
70730931.07 	-95.6490608 
70890156.89 	-95.662199  
71049741.14 	-95.6753684 
71209684.65 	-95.6885688 
71369988.21 	-95.7018006 
71530652.63 	-95.7150636 
71691678.74 	-95.7283581 
71853067.34 	-95.741684  
72014819.25 	-95.7550415 
72176935.29 	-95.7684307 
72339416.27 	-95.7818516 
72502263.03 	-95.7953044 
72665476.37 	-95.8087891 
72829057.14 	-95.8223058 
72993006.14 	-95.8358546 
73157324.22 	-95.8494355 
73322012.21 	-95.8630488 
73487070.93 	-95.8766944 
73652501.23 	-95.8903724 
73818303.93 	-95.904083  
73984479.88 	-95.9178262 
74151029.91 	-95.9316021 
74317954.88 	-95.9454108 
74485255.62 	-95.9592524 
74652932.97 	-95.973127  
74820987.79 	-95.9870346 
74989420.93 	-96.0009754 
75158233.24 	-96.0149495 
75327425.57 	-96.0289569 
75496998.77 	-96.0429978 
75666953.71 	-96.0570721 
75837291.25 	-96.0711801 
76008012.24 	-96.0853218 
76179117.54 	-96.0994974 
76350608.03 	-96.1137068 
76522484.57 	-96.1279502 
76694748.04 	-96.1422277 
76867399.29 	-96.1565393 
77040439.2  	-96.1708853 
77213868.65 	-96.1852656 
77387688.52 	-96.1996804 
77561899.69 	-96.2141298 
77736503.02 	-96.2286138 
77911499.42 	-96.2431325 
78086889.76 	-96.2576862 
78262674.93 	-96.2722747 
78438855.81 	-96.2868983 
78615433.31 	-96.3015571 
78792408.31 	-96.3162511 
78969781.7  	-96.3309804 
79147554.39 	-96.3457452 
79325727.28 	-96.3605455 
79504301.25 	-96.3753814 
79683277.22 	-96.3902531 
79862656.1  	-96.4051606 
80042438.78 	-96.4201041 
80222626.18 	-96.4350835 
80403219.21 	-96.4500992 
80584218.78 	-96.465151  
80765625.8  	-96.4802393 
80947441.2  	-96.4953639 
81129665.9  	-96.5105251 
81312300.81 	-96.525723  
81495346.85 	-96.5409576 
81678804.96 	-96.5562291 
81862676.07 	-96.5715376 
82046961.09 	-96.5868831 
