Frequency  	Gain       
33982083.29 	-100.371582 
34058582    	-100.312494 
34135252.92 	-100.253403 
34212096.43 	-100.19431  
34289112.94 	-100.135215 
34366302.81 	-100.076118 
34443666.46 	-100.017018 
34521204.26 	-99.9579158 
34598916.61 	-99.8988115 
34676803.9  	-99.8397049 
34754866.53 	-99.780596  
34833104.89 	-99.7214847 
34911519.37 	-99.6623711 
34990110.38 	-99.6032551 
35068878.31 	-99.5441368 
35147823.55 	-99.4850161 
35226946.51 	-99.425893  
35306247.6  	-99.3667675 
35385727.19 	-99.3076396 
35465385.71 	-99.2485093 
35545223.56 	-99.1893765 
35625241.13 	-99.1302413 
35705438.83 	-99.0711037 
35785817.06 	-99.0119636 
35866376.24 	-98.952821  
35947116.78 	-98.8936759 
36028039.07 	-98.8345283 
36109143.53 	-98.7753782 
36190430.56 	-98.7162256 
36271900.59 	-98.6570705 
36353554.02 	-98.5979128 
36435391.26 	-98.5387526 
36517412.73 	-98.4795897 
36599618.84 	-98.4204244 
36682010.01 	-98.3612564 
36764586.65 	-98.3020858 
36847349.19 	-98.2429126 
36930298.03 	-98.1837368 
37013433.61 	-98.1245583 
37096756.34 	-98.0653772 
37180266.64 	-98.0061935 
37263964.93 	-97.947007  
37347851.64 	-97.8878179 
37431927.2  	-97.828626  
37516192.02 	-97.7694315 
37600646.53 	-97.7102342 
37685291.16 	-97.6510342 
37770126.34 	-97.5918315 
37855152.49 	-97.532626  
37940370.05 	-97.4734177 
38025779.45 	-97.4142066 
38111381.12 	-97.3549927 
38197175.49 	-97.2957761 
38283163    	-97.2365566 
38369344.08 	-97.1773342 
38455719.16 	-97.118109  
38542288.69 	-97.058881  
38629053.09 	-96.99965   
38716012.82 	-96.9404162 
38803168.31 	-96.8811795 
38890519.99 	-96.8219398 
38978068.32 	-96.7626972 
39065813.73 	-96.7034517 
39153756.67 	-96.6442033 
39241897.58 	-96.5849518 
39330236.92 	-96.5256974 
39418775.11 	-96.46644   
39507512.62 	-96.4071795 
39596449.89 	-96.3479161 
39685587.37 	-96.2886496 
39774925.51 	-96.22938   
39864464.77 	-96.1701074 
39954205.59 	-96.1108317 
40044148.43 	-96.0515529 
40134293.75 	-95.992271  
40224641.99 	-95.932986  
40315193.63 	-95.8736978 
40405949.11 	-95.8144065 
40496908.89 	-95.7551121 
40588073.44 	-95.6958144 
40679443.21 	-95.6365136 
40771018.67 	-95.5772095 
40862800.28 	-95.5179022 
40954788.5  	-95.4585917 
41046983.8  	-95.3992779 
41139386.65 	-95.3399609 
41231997.51 	-95.2806406 
41324816.85 	-95.2213169 
41417845.14 	-95.16199   
41511082.86 	-95.1026597 
41604530.46 	-95.0433261 
41698188.43 	-94.9839892 
